framework,source_log,line_number,epoch_zero_based,epoch_one_based,configured_epochs,logged_sample_in_epoch,learning_rate,loss,eta
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,93,11,12,60,3,0.0001,0.0943,0:56:19.766539
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,94,11,12,60,4,0.0001,0.1517,0:53:26.935557
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,95,11,12,60,5,0.0001,0.1297,0:43:45.242244
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,96,11,12,60,6,0.0001,0.1388,0:52:44.326962
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,97,12,13,60,0,0.0001,0.0732,0:42:29.938362
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,98,12,13,60,1,0.0001,0.0948,0:51:41.757938
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,99,12,13,60,2,0.0001,0.1139,0:52:56.497301
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,100,12,13,60,3,0.0001,0.1403,0:54:58.654006
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,101,12,13,60,4,0.0001,0.1688,0:52:23.146833
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,102,12,13,60,5,0.0001,0.2202,0:52:58.023473
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,103,12,13,60,6,0.0001,0.0961,0:53:52.596708
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,104,13,14,60,0,0.0001,0.0579,0:41:15.308057
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,105,13,14,60,1,0.0001,0.1037,0:51:17.916052
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,106,13,14,60,2,0.0001,0.0624,0:53:13.732621
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,107,13,14,60,3,0.0001,0.1075,0:54:11.475139
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,108,13,14,60,4,0.0001,0.0778,0:52:50.772160
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,109,13,14,60,5,0.0001,0.1698,0:53:12.773047
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,110,13,14,60,6,0.0001,0.0954,0:52:41.939379
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,111,14,15,60,0,0.0001,0.1691,0:40:08.352264
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,112,14,15,60,1,0.0001,0.146,0:47:38.767017
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,113,14,15,60,2,0.0001,0.1184,0:51:25.626530
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,114,14,15,60,3,0.0001,0.1501,0:52:47.256964
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,115,14,15,60,4,0.0001,0.0818,0:47:58.479590
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,116,14,15,60,5,0.0001,0.1235,0:50:15.326415
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,117,14,15,60,6,0.0001,0.1136,0:50:32.183558
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,118,15,16,60,0,0.0001,0.0677,0:43:13.285375
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,119,15,16,60,1,0.0001,0.1589,0:52:20.892447
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,120,15,16,60,2,0.0001,0.092,0:48:51.848708
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,121,15,16,60,3,0.0001,0.1371,0:51:18.324755
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,122,15,16,60,4,0.0001,0.1756,0:52:09.665256
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,123,15,16,60,5,0.0001,0.0944,0:51:27.205648
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,124,15,16,60,6,0.0001,0.1244,0:51:56.814036
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,125,16,17,60,0,0.0001,0.1415,0:38:45.913439
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,126,16,17,60,1,0.0001,0.0867,0:45:37.865696
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,127,16,17,60,2,0.0001,0.1045,0:50:47.935932
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,128,16,17,60,3,0.0001,0.1431,0:48:07.734025
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,129,16,17,60,4,0.0001,0.1082,0:50:38.312632
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,130,16,17,60,5,0.0001,0.1079,0:49:57.800612
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,131,16,17,60,6,0.0001,0.115,0:47:47.797485
Jittor,G:\科研\图像融合\培育期Jittor_SIBA\logs\jittor_msrs_roadscene_60e_20260727_siba_official_protocol\train.log,132,17,18,60,0,0.0001,0.0714,0:40:51.809713
