timestamp,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,power_draw_w
2026/08/01 16:19:26.472, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 243.05
2026/08/01 16:19:27.570, NVIDIA GeForce RTX 3090, 4289, 24576, 36, 256.91
2026/08/01 16:19:28.616, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 255.57
2026/08/01 16:19:29.668, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 254.84
2026/08/01 16:19:30.743, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 254.46
2026/08/01 16:19:31.814, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 249.79
2026/08/01 16:19:32.907, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 263.00
2026/08/01 16:19:33.982, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 261.65
2026/08/01 16:19:35.037, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 257.63
2026/08/01 16:19:36.110, NVIDIA GeForce RTX 3090, 4289, 24576, 42, 253.71
2026/08/01 16:19:37.182, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 259.76
2026/08/01 16:19:38.258, NVIDIA GeForce RTX 3090, 4289, 24576, 42, 256.01
2026/08/01 16:19:39.306, NVIDIA GeForce RTX 3090, 4289, 24576, 40, 257.68
2026/08/01 16:19:40.371, NVIDIA GeForce RTX 3090, 4289, 24576, 35, 252.88
2026/08/01 16:19:41.425, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 260.73
2026/08/01 16:19:42.494, NVIDIA GeForce RTX 3090, 4289, 24576, 40, 256.47
2026/08/01 16:19:43.567, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 256.23
2026/08/01 16:19:44.660, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 257.35
2026/08/01 16:19:45.708, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 257.24
2026/08/01 16:19:46.810, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 257.07
2026/08/01 16:19:47.860, NVIDIA GeForce RTX 3090, 4289, 24576, 40, 255.02
2026/08/01 16:19:48.951, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 259.54
2026/08/01 16:19:50.039, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 254.93
2026/08/01 16:19:51.104, NVIDIA GeForce RTX 3090, 4289, 24576, 29, 256.72
2026/08/01 16:19:52.153, NVIDIA GeForce RTX 3090, 4289, 24576, 60, 261.90
2026/08/01 16:19:53.208, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 261.38
2026/08/01 16:19:54.260, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 262.61
2026/08/01 16:19:55.354, NVIDIA GeForce RTX 3090, 4289, 24576, 36, 253.63
2026/08/01 16:19:56.442, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 260.14
2026/08/01 16:19:57.492, NVIDIA GeForce RTX 3090, 4289, 24576, 55, 263.55
2026/08/01 16:19:58.563, NVIDIA GeForce RTX 3090, 4289, 24576, 59, 253.53
2026/08/01 16:19:59.612, NVIDIA GeForce RTX 3090, 4289, 24576, 60, 262.01
2026/08/01 16:20:00.682, NVIDIA GeForce RTX 3090, 4289, 24576, 49, 261.04
2026/08/01 16:20:01.747, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 252.72
2026/08/01 16:20:02.803, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 259.27
2026/08/01 16:20:03.851, NVIDIA GeForce RTX 3090, 4289, 24576, 53, 264.19
2026/08/01 16:20:04.894, NVIDIA GeForce RTX 3090, 4289, 24576, 64, 256.78
2026/08/01 16:20:05.944, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 255.60
2026/08/01 16:20:07.009, NVIDIA GeForce RTX 3090, 4289, 24576, 56, 262.20
2026/08/01 16:20:08.082, NVIDIA GeForce RTX 3090, 4289, 24576, 56, 261.15
2026/08/01 16:20:09.158, NVIDIA GeForce RTX 3090, 4289, 24576, 41, 251.35
2026/08/01 16:20:10.206, NVIDIA GeForce RTX 3090, 4289, 24576, 46, 260.46
2026/08/01 16:20:11.278, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 261.82
2026/08/01 16:20:12.373, NVIDIA GeForce RTX 3090, 4289, 24576, 38, 255.61
2026/08/01 16:20:13.423, NVIDIA GeForce RTX 3090, 4289, 24576, 43, 254.52
2026/08/01 16:20:14.513, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 253.28
2026/08/01 16:20:15.578, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 262.23
2026/08/01 16:20:16.632, NVIDIA GeForce RTX 3090, 4289, 24576, 74, 257.43
2026/08/01 16:20:17.683, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 261.24
2026/08/01 16:20:18.727, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 259.66
2026/08/01 16:20:19.775, NVIDIA GeForce RTX 3090, 4289, 24576, 55, 263.06
2026/08/01 16:20:20.827, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 257.55
2026/08/01 16:20:21.903, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 260.40
2026/08/01 16:20:22.947, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 253.84
2026/08/01 16:20:24.010, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 260.38
2026/08/01 16:20:25.082, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 260.17
2026/08/01 16:20:26.130, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 263.60
2026/08/01 16:20:27.176, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 265.71
2026/08/01 16:20:28.230, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 262.66
2026/08/01 16:20:29.280, NVIDIA GeForce RTX 3090, 4289, 24576, 38, 258.00
2026/08/01 16:20:30.331, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 259.00
2026/08/01 16:20:31.398, NVIDIA GeForce RTX 3090, 4289, 24576, 59, 263.14
2026/08/01 16:20:32.447, NVIDIA GeForce RTX 3090, 4289, 24576, 53, 262.50
2026/08/01 16:20:33.495, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 261.51
2026/08/01 16:20:34.566, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 263.73
2026/08/01 16:20:35.615, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 262.73
2026/08/01 16:20:36.664, NVIDIA GeForce RTX 3090, 4289, 24576, 41, 255.07
2026/08/01 16:20:37.710, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 265.35
2026/08/01 16:20:38.760, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 264.42
2026/08/01 16:20:39.811, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 258.99
2026/08/01 16:20:40.859, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 261.84
2026/08/01 16:20:41.946, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 258.50
2026/08/01 16:20:43.039, NVIDIA GeForce RTX 3090, 4289, 24576, 41, 265.42
2026/08/01 16:20:44.107, NVIDIA GeForce RTX 3090, 4289, 24576, 56, 261.89
2026/08/01 16:20:45.156, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 264.17
2026/08/01 16:20:46.226, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 256.05
2026/08/01 16:20:47.279, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 261.06
2026/08/01 16:20:48.370, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 263.81
2026/08/01 16:20:49.419, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 262.71
2026/08/01 16:20:50.467, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 264.05
2026/08/01 16:20:51.518, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 264.10
2026/08/01 16:20:52.564, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 262.33
2026/08/01 16:20:53.634, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 253.49
2026/08/01 16:20:54.687, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 258.74
2026/08/01 16:20:55.735, NVIDIA GeForce RTX 3090, 4289, 24576, 36, 254.48
2026/08/01 16:20:56.806, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 263.28
2026/08/01 16:20:57.852, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 254.88
2026/08/01 16:20:58.914, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 264.07
2026/08/01 16:20:59.985, NVIDIA GeForce RTX 3090, 4289, 24576, 38, 257.29
2026/08/01 16:21:01.058, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 259.84
2026/08/01 16:21:02.135, NVIDIA GeForce RTX 3090, 4289, 24576, 59, 264.59
2026/08/01 16:21:03.187, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 266.15
2026/08/01 16:21:04.253, NVIDIA GeForce RTX 3090, 4289, 24576, 56, 265.52
2026/08/01 16:21:05.303, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 257.04
2026/08/01 16:21:06.355, NVIDIA GeForce RTX 3090, 4289, 24576, 37, 257.26
2026/08/01 16:21:07.467, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 263.77
2026/08/01 16:21:08.542, NVIDIA GeForce RTX 3090, 4289, 24576, 36, 258.48
2026/08/01 16:21:09.616, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 258.41
2026/08/01 16:21:10.685, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 264.87
2026/08/01 16:21:11.732, NVIDIA GeForce RTX 3090, 4289, 24576, 36, 261.97
2026/08/01 16:21:12.801, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 257.95
2026/08/01 16:21:13.857, NVIDIA GeForce RTX 3090, 4289, 24576, 55, 262.64
2026/08/01 16:21:14.912, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 255.85
2026/08/01 16:21:15.990, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 261.64
2026/08/01 16:21:17.082, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 254.49
2026/08/01 16:21:18.137, NVIDIA GeForce RTX 3090, 4289, 24576, 59, 257.86
2026/08/01 16:21:19.211, NVIDIA GeForce RTX 3090, 4289, 24576, 40, 258.73
2026/08/01 16:21:20.309, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 261.41
2026/08/01 16:21:21.377, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 263.30
2026/08/01 16:21:22.427, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 263.52
2026/08/01 16:21:23.519, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 256.26
2026/08/01 16:21:24.590, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 258.09
2026/08/01 16:21:25.636, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 263.18
2026/08/01 16:21:26.730, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 259.73
2026/08/01 16:21:27.780, NVIDIA GeForce RTX 3090, 4289, 24576, 44, 258.06
2026/08/01 16:21:28.855, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 265.49
2026/08/01 16:21:29.904, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 262.51
2026/08/01 16:21:30.952, NVIDIA GeForce RTX 3090, 4289, 24576, 37, 258.98
2026/08/01 16:21:32.019, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 259.13
2026/08/01 16:21:33.107, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 257.21
2026/08/01 16:21:34.194, NVIDIA GeForce RTX 3090, 4289, 24576, 57, 257.50
2026/08/01 16:21:35.257, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 258.40
2026/08/01 16:21:36.327, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 257.66
2026/08/01 16:21:37.426, NVIDIA GeForce RTX 3090, 4289, 24576, 41, 256.58
2026/08/01 16:21:38.523, NVIDIA GeForce RTX 3090, 4289, 24576, 48, 266.18
2026/08/01 16:21:39.618, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 260.43
2026/08/01 16:21:40.691, NVIDIA GeForce RTX 3090, 4289, 24576, 41, 256.29
2026/08/01 16:21:41.741, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 253.89
2026/08/01 16:21:42.818, NVIDIA GeForce RTX 3090, 4289, 24576, 44, 258.91
2026/08/01 16:21:43.886, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 256.11
2026/08/01 16:21:44.932, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 264.48
2026/08/01 16:21:46.007, NVIDIA GeForce RTX 3090, 4289, 24576, 61, 260.11
2026/08/01 16:21:47.060, NVIDIA GeForce RTX 3090, 4289, 24576, 52, 256.65
2026/08/01 16:21:48.127, NVIDIA GeForce RTX 3090, 4289, 24576, 50, 262.85
2026/08/01 16:21:49.214, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 265.32
2026/08/01 16:21:50.265, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 266.90
2026/08/01 16:21:51.320, NVIDIA GeForce RTX 3090, 4289, 24576, 37, 256.34
2026/08/01 16:21:52.395, NVIDIA GeForce RTX 3090, 4289, 24576, 41, 256.78
2026/08/01 16:21:53.463, NVIDIA GeForce RTX 3090, 4289, 24576, 56, 261.03
2026/08/01 16:21:54.556, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 264.76
2026/08/01 16:21:55.612, NVIDIA GeForce RTX 3090, 4289, 24576, 44, 255.81
2026/08/01 16:21:56.669, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 263.76
2026/08/01 16:21:57.743, NVIDIA GeForce RTX 3090, 4289, 24576, 47, 257.39
2026/08/01 16:21:58.788, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 259.85
2026/08/01 16:21:59.835, NVIDIA GeForce RTX 3090, 4289, 24576, 44, 262.12
2026/08/01 16:22:00.889, NVIDIA GeForce RTX 3090, 4289, 24576, 53, 255.66
2026/08/01 16:22:01.966, NVIDIA GeForce RTX 3090, 4289, 24576, 38, 266.14
2026/08/01 16:22:03.018, NVIDIA GeForce RTX 3090, 4289, 24576, 54, 266.27
2026/08/01 16:22:04.091, NVIDIA GeForce RTX 3090, 4289, 24576, 35, 261.15
2026/08/01 16:22:05.166, NVIDIA GeForce RTX 3090, 4289, 24576, 49, 258.53
2026/08/01 16:22:06.259, NVIDIA GeForce RTX 3090, 4289, 24576, 58, 262.50
2026/08/01 16:22:07.314, NVIDIA GeForce RTX 3090, 4289, 24576, 51, 259.44
2026/08/01 16:22:08.363, NVIDIA GeForce RTX 3090, 4289, 24576, 49, 257.95
2026/08/01 16:22:09.454, NVIDIA GeForce RTX 3090, 4289, 24576, 39, 263.25
2026/08/01 16:22:10.502, NVIDIA GeForce RTX 3090, 4289, 24576, 62, 264.29
2026/08/01 16:22:11.547, NVIDIA GeForce RTX 3090, 4289, 24576, 47, 256.04
2026/08/01 16:22:12.595, NVIDIA GeForce RTX 3090, 4289, 24576, 46, 259.18
2026/08/01 16:22:13.662, NVIDIA GeForce RTX 3090, 4289, 24576, 43, 263.97
